ID,Station Name,River Basin,County,Longitude,Latitude,ElevationFeet,Operator,HydrologicArea
MMT,MAMMOTH,OWENS RIVER,MONO,-118.992,37.62,"8,300",City of Los Angeles; Dept of Water and Power,South Lahontan
MN2,MINARETS 2,OWENS RIVER,MONO,-119.017,37.663,"9,000",City of Los Angeles; Dept of Water and Power,South Lahontan
MOJ,MOJAVE RIVER SINK,MOJAVE RIVER,SAN BERNARDINO,-116.083,35.058,950,US Bureau of Land Management,South Lahontan
MVV,MOJAVE RIVER - VICTORVILLE,MOJAVE RIVER,SAN BERNARDINO,-117.32,34.57,"2,643",US Geological Survey,South Lahontan
NTH,NORTH LAKE,OWENS RIVER,INYO,-118.62,37.228,"9,300",CA Dept of Water Resources,South Lahontan
OAC,OAK CREEK,OWENS RIVER,INYO,-118.259,36.843,"4,855",CA Dept of Forestry and Fire Protection,South Lahontan
OTR,OWENS RIVER BELOW TINEMAHA RESERVOIR,OWENS RIVER,INYO,-118.225,37.058,"3,882",Los Angeles County,South Lahontan
OVC,OWENS VALLEY,OWENS RIVER,INYO,-118.55,37.39,"4,640",CA Dept of Forestry and Fire Protection,South Lahontan
OWL,OWENS RIVER-LONG VLY,OWENS RIVER,MONO,-118.7084,37.5875,"2,065",City of Los Angeles; Dept of Water and Power,South Lahontan
PLM,PALM SPRINGS AIRPORT,WHITEWATER RIVER,RIVERSIDE,-116.503609,33.822224,474,National Weather Service,South Lahontan
PNY,PINE CANYON PATROL STATION,MOJAVE DESERT,LOS ANGELES,-118.428886,34.673332,"3,400",Los Angeles County,South Lahontan
PTE,PIUTES FS,MOJAVE DESERT,KERN,-118.2789,35.4456,"6,440",US Bureau of Land Management,South Lahontan
PVR,PLEASANT VALLEY RESERVOIR,OWENS RIVER,INYO,-118.583576,37.423578,"4,400",City of Los Angeles; Dept of Water and Power,South Lahontan
RC1,ROCK CREEK 1,OWENS RIVER,MONO,-118.717,37.492,"8,700",City of Los Angeles; Dept of Water and Power,South Lahontan
RC2,ROCK CREEK 2,OWENS RIVER,MONO,-118.717,37.473,"9,050",City of Los Angeles; Dept of Water and Power,South Lahontan
RC3,ROCK CREEK 3,OWENS RIVER,INYO,-118.742,37.45,"10,000",City of Los Angeles; Dept of Water and Power,South Lahontan
RCK,ROCK CREEK LAKES,OWENS RIVER,INYO,-118.735023,37.457275,"9,700",CA Dept of Water Resources/DFM-Hydro-SMN,South Lahontan
RCM,ROCK CAMP,MOJAVE DESERT,SAN BERNARDINO,-117.213,34.288,"4,924",US Forest Service,South Lahontan
RKC,ROCK CREEK NEAR MAMMOTH LAKES,OWENS RIVER,MONO,-118.667,37.551,"7,040",US Forest Service,South Lahontan
RVE,RIVERSIDE AIRPORT,SANTA ANA RIVER,RIVERSIDE,-117.444168,33.951946,827,National Weather Service,South Lahontan
SBE,SANDBERG ALERT,MOJAVE DESERT,LOS ANGELES,-118.723892,34.746387,"3,635",Los Angeles County,South Lahontan
SBN,LAKE SABRINA,OWENS RIVER,INYO,-118.617,37.217,"9,065","Southern California Edison Company, Big Creek",South Lahontan
SDB,SADDLEBAG LAKE RESERVOIR,MONO LAKE,MONO,-119.272,37.966,"10,090","Southern California Edison Company, Big Creek",South Lahontan
SDL,SADDLEBAG LAKE,MONO LAKE,MONO,-119.267,37.957,"9,750","Southern California Edison Company, Bishop",South Lahontan
SKR,SOUTH LAKE RESERVOIR,OWENS RIVER,INYO,-118.56954,37.16602,837,"Southern California Edison Company, Bishop",South Lahontan
SLK,SOUTH LAKE,OWENS RIVER,INYO,-118.56266,37.175903,"9,600",CA Dept of Water Resources/DFM-Hydro-SMN,South Lahontan
SLW,LAKE SILVERWOOD,MOJAVE RIVER,SAN BERNARDINO,-117.318,34.304,"3,331",CA Dept of Water Resources/Operations and Maintenance,South Lahontan
SNG,SANDBERG,MOJAVE DESERT,LOS ANGELES,-118.724167,34.74361,"4,510",National Weather Service,South Lahontan
SOT,SOUTHERN REGION SNOW,SAN JOAQUIN RIVER,none specified,-118.7,36.9,"5,000",CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting,South Lahontan
SWM,SAWMILL,OWENS RIVER,INYO,-118.562592,37.161964,"10,200",CA Dept of Water Resources/DFM-Hydro-SMN,South Lahontan
SWS,RED MOUNTAIN,MOJAVE DESERT,SAN BERNARDINO,-117.5703,35.3683,"3,620",US Bureau of Land Management,South Lahontan
TGP,TIOGA PASS,MONO LAKE,MONO,-119.253,37.917,"9,800","Southern California Edison Company, Bishop",South Lahontan
TNM,TINEMAHA RESERVOIR,OWENS RIVER,INYO,-118.225,37.058,"3,882",City of Los Angeles; Dept of Water and Power,South Lahontan
TRL,TRAILHEAD,OWENS RIVER,INYO,-118.155,36.337,"9,100",City of Los Angeles; Dept of Water and Power,South Lahontan
VLY,VALYERMO,ANTELOPE VALLEY,LOS ANGELES,-117.851,34.446,"3,780",US Forest Service,South Lahontan
WFM,WEST FORK MOJAVE RIVER UPPER CLEGHORN,MOJAVE RIVER,SAN BERNARDINO,-117.3711,34.285,"3,550",CA Dept of Water Resources/Operations and Maintenance,South Lahontan
